mol,n_points,r_values,d_psi_dR,psi_values,d_log_lambda_dR,log_lambda_values,d_wcnmax_dR,wcnmax_values,d_w17max_dR,w17max_values,d_w78max_dR,w78max_values
mol_002_E,5,"[1.5092, 1.6092, 1.7092, 1.8092, 1.9092]",2.3368303977131184,"[0.5983017244740871, 0.7930804528888588, 1.0114864181428096, 1.278688433450575, 1.5239129330497878]",0.20049100963440053,"[-0.2203844500325235, 0.05716463532211534, 0.07453876067031226, -0.07099836070755712, -0.05605744720048697]",0.019893000000000056,"[0.43560000000000004, 0.438244, 0.43956900000000004, 0.44222500000000003, 0.44355600000000006]",-0.064742,"[0.172225, 0.08643599999999999, 0.07784100000000002, 0.11833599999999998, 0.12390399999999999]",0.01232500000000001,"[0.10368400000000001, 0.098596, 0.092416, 0.10048900000000001, 0.10890000000000001]"
mol_006_E,5,"[1.5108, 1.6108, 1.7108, 1.8108, 1.9108]",2.426213434979027,"[0.6188311286473294, 0.8146178860719012, 1.0364864164536205, 1.3178570487244965, 1.5803182648105454]",0.14305068839430607,"[-0.18693553319407827, -0.02935603091162552, -0.024316675700375018, -0.09354609036378053, -0.08331515927084777]",0.018288000000000026,"[0.42250000000000004, 0.42640900000000004, 0.42771600000000004, 0.42902500000000005, 0.43033600000000005]",-0.06776199999999999,"[0.142129, 0.109561, 0.10627600000000001, 0.11088900000000002, 0.10758400000000001]",-0.020223000000000005,"[0.092416, 0.1024, 0.10048900000000001, 0.089401, 0.088804]"
mol_014_Z,5,"[1.5034, 1.6034, 1.7034, 1.8034, 1.9034]",0.49307297960299057,"[0.1846565401733684, 0.2372727057024813, 0.2842012105735913, 0.33450084636595045, 0.38257895964312905]",-0.9058704436823677,"[-0.006160231238420481, -0.06928297131042765, -0.08589302645369332, -0.2475643188167156, -0.3699547793264602]",-0.009065000000000073,"[0.42120100000000005, 0.419904, 0.361201, 0.418609, 0.417316]",0.20249700000000012,"[0.08008899999999998, 0.09, 0.094864, 0.140625, 0.15602500000000002]",-0.021999000000000088,"[0.07896100000000002, 0.07672900000000002, 0.07784100000000002, 0.07952399999999998, 0.066564]"
mol_020_E,5,"[1.5029, 1.6029, 1.7029, 1.8029, 1.9029]",-0.7683732616702789,"[0.5840707620017248, 0.763473008175269, 0.9408664554527837, 1.1632412705084396, 0.0]",-0.15771307644346944,"[-0.29058329478976075, -0.4702320229422717, -0.44884852375110507, -0.3753462632109929, -0.4168827128771348]",0.03213599999999995,"[0.45024100000000006, 0.43428100000000003, 0.405769, 0.45024100000000006, 0.45832900000000004]",0.01267700000000011,"[0.172225, 0.17724099999999998, 0.203401, 0.207936, 0.16321600000000003]",-0.023827000000000015,"[0.088209, 0.060024999999999995, 0.07236100000000001, 0.08761599999999999, 0.0625]"
mol_021_E,5,"[1.5033, 1.6033, 1.7033, 1.8033, 1.9033]",2.0006732124276994,"[0.5677419021852257, 0.7413380680204259, 0.9179847148222193, 1.1283703910685585, 1.3745623468750088]",-0.25615199005224126,"[-0.07396713250634, 0.034377870682028654, 0.05587707362205754, -0.07370545020751444, -0.14800146708768902]",0.02734999999999972,"[0.46922500000000006, 0.45562500000000006, 0.44622400000000007, 0.46922500000000006, 0.4760999999999999]",-0.07195700000000008,"[0.11764900000000002, 0.10368400000000001, 0.09060099999999999, 0.08702499999999999, 0.09]",-0.10921600000000005,"[0.09922500000000001, 0.11222500000000002, 0.10304100000000001, 0.073441, 0.064009]"
mol_029_Z,5,"[1.5066, 1.6066, 1.7066, 1.8066, 1.9066]",0.470188760102506,"[0.155525228136069, 0.19704100894142512, 0.2479674628748332, 0.29698994668963563, 0.3406451393132168]",-1.0972602609398026,"[0.25798256123899377, 0.21321516278307054, 0.20676902245810838, -0.0731283212737848, -0.14747582720247993]",0.01506899999999978,"[0.4664890000000001, 0.4664890000000001, 0.45968400000000004, 0.47334399999999993, 0.47059600000000007]",0.148758,"[0.0576, 0.061503999999999996, 0.064009, 0.10368400000000001, 0.11088900000000002]",-0.063609,"[0.104329, 0.10048900000000001, 0.10304100000000001, 0.08761599999999999, 0.07896100000000002]"
