mol_id,E_energy_eV,Z_energy_eV,diff_eV
mol_001,-13018.059741,-13017.991343,-0.06839799999943352
mol_002,-16133.313943,-16133.291852,-0.022090999998908956
mol_003,-15717.591411,-15717.528323,-0.06308799999897019
mol_008,-18580.588347,-18580.523579,-0.06476800000018557
mol_012,-18580.658732,-18580.618039,-0.04069299999900977
mol_014,-15717.51067,-15717.566796,0.056125999999494525
mol_016,-16133.239314,-16133.195251,-0.0440630000011879
mol_018,-18580.665846,-18580.567813,-0.0980329999983951
mol_015,-14087.509213,-14087.457127,-0.0520859999996901
