stage,R_NO,weight,MO_index
nbo,1.5475915435171668,0.4409505138557445,39
scan_1,1.5801385595213087,0.4403556612734528,39
scan_2,1.6139034620684654,0.44033450063935103,39
scan_3,1.6499999999999997,0.42257111453700164,39
scan_4,1.6876586358559382,0.45164870659975276,39
scan_5,1.7241716298710195,0.46528564299023134,39
scan_6,1.7618367394721322,0.47652246265821446,39
